gene_id,gene_symbol,major_class,subcategory,functional_label,heatmap_row_label,shared_across_classes,TMEM94_required,raw_gene_id,raw_gene_symbol,mapping_method,filter_status,N1,N3,N4,N5,N6,N7,N8,N9,N10,O1,O2,O3,O5,O6,O7,O8,O9,O10,D1,D2,D3,D5,D6,D7,D8S,HF1,HF2,HF3,HF4,HF5,HF6,HF7,HF8,HF9,HF10
ENSG00000151067,CACNA1C,Calcium channels,CaV1 / L-type calcium channels,Cav1.2 α1 subunit (cardiac L-type),CACNA1C | Cav1.2 α1 subunit (cardiac L-type),No,No,ENSG00000151067,CACNA1C,gene_id,retained,-0.12686177,0.29188426,-0.44422505,-0.07208803,-0.08166663,0.16880738,0.70391402,-0.32304721,-0.11671696,-0.37460014,-0.22060605,-0.11053802,-0.07886424,0.28025034,-0.25670031,-0.03767728,-0.33504008,0.11309381,0.33717381,0.32716072,0.37848028,0.66420530,0.39629066,0.33758401,-0.37894895,0.11357197,0.08638378,0.64208984,0.40243247,0.29370213,0.32613954,-0.55160142,-0.07002704,0.22671955,-0.27531463
ENSG00000157388,CACNA1D,Calcium channels,CaV1 / L-type calcium channels,Cav1.3 α1 subunit (atrial/pacemaker L-type),CACNA1D | Cav1.3 α1 subunit (atrial/pacemaker L-type),No,No,ENSG00000157388,CACNA1D,gene_id,retained,-0.80385244,-2.39602927,0.39593631,0.53947147,-1.54106041,0.11216607,0.09279102,2.95969454,0.64088271,-0.21365127,-0.84708053,2.02550624,0.99110066,-1.66490125,-0.13537339,0.73596331,0.05603754,-5.03963720,0.38948599,-0.87980806,-0.17309544,0.47325589,-1.39003651,-0.28787848,-1.67055224,-1.15866941,1.05568253,0.08655021,1.21066133,0.86065643,-2.52798330,-0.51515168,-0.31542445,0.97029182,0.42506205
ENSG00000102001,CACNA1F,Calcium channels,CaV1 / L-type calcium channels,Cav1.4 α1 subunit (retina),CACNA1F | Cav1.4 α1 subunit (retina),No,No,ENSG00000102001,CACNA1F,gene_id,retained,-3.32220786,1.24346748,-0.99843039,-1.06134611,0.02804701,-0.19319562,1.26136051,2.03025421,1.01205076,1.24442484,-1.04350785,1.35456258,0.17554423,1.85173876,-0.15122847,2.06406264,-1.43374873,0.92178765,-3.08580071,-0.22823848,-1.54258747,0.92037278,2.50099901,1.53276771,1.37248637,-0.03702096,1.72208716,1.03898628,0.45784066,0.51549373,1.24275798,-0.29968121,1.12243844,0.95443674,-0.19345753
ENSG00000141837,CACNA1A,Calcium channels,CaV2 calcium channels,Cav2.1 α1 subunit (P/Q-type),CACNA1A | Cav2.1 α1 subunit (P/Q-type),No,No,ENSG00000141837,CACNA1A,gene_id,retained,0.21468945,0.16754700,0.02227000,-0.14856106,0.75758939,-0.33917458,-0.72575861,-0.07961360,0.13101201,0.69567573,0.07759443,0.41111641,-0.77374282,0.53988163,-1.04502040,0.13773674,-0.40440942,-0.32240432,-0.19773809,-0.44055993,0.49747824,-0.14314401,-1.58466047,0.40290842,0.66054709,1.40490686,1.53464038,0.75712389,0.58297845,0.20875668,0.18627188,0.11202941,0.97182059,1.48450201,0.95961714
ENSG00000148408,CACNA1B,Calcium channels,CaV2 calcium channels,Cav2.2 α1 subunit (N-type),CACNA1B | Cav2.2 α1 subunit (N-type),No,No,ENSG00000148408,CACNA1B,gene_id,retained,-0.09967392,-1.30482763,-0.09782454,-1.05382507,0.83024915,0.40690111,1.18399266,-0.70399132,0.83899956,0.98064386,0.06354887,1.94941314,0.61517629,1.47692647,-0.33962763,-0.28831226,1.78878521,2.65147729,0.95985547,-1.55414116,-1.28352766,1.10989166,2.79802668,2.08343108,0.64304182,0.11310448,-0.95745248,-1.02388200,1.56489738,0.03758795,0.32875308,-1.62558389,-0.04734505,0.78687108,0.06560228
ENSG00000198216,CACNA1E,Calcium channels,CaV2 calcium channels,Cav2.3 α1 subunit (R-type),CACNA1E | Cav2.3 α1 subunit (R-type),No,No,ENSG00000198216,CACNA1E,gene_id,retained,-0.14052367,-2.52516121,0.28315237,0.78473505,-0.46756318,-1.05137589,0.75776858,0.59691200,1.76205594,1.84223494,4.46010443,1.54280235,1.80811112,1.82673939,3.06038823,-1.00300579,1.93489839,3.79541126,-1.54457413,0.24542482,-4.08882374,-1.06947013,-1.01352839,-3.33539665,1.21581692,-1.39883266,-0.30331694,-3.09221249,-2.29484649,-3.40925416,-1.18318405,-3.69391438,-1.72865241,1.02173213,-1.51730138
ENSG00000006283,CACNA1G,Calcium channels,CaV3 / T-type calcium channels,"Cav3.1 α1 subunit (cardiac conduction system, SAN, AVN, fetal heart)","CACNA1G | Cav3.1 α1 subunit (cardiac conduction system, SAN, AVN, fetal heart)",No,No,ENSG00000006283,CACNA1G,gene_id,retained,-0.77902249,-0.42509234,0.52538965,0.61057256,0.10491437,1.46299870,0.53920131,-1.05927606,-0.97968570,1.42668797,-0.48121367,0.74758619,0.59611030,-0.56641426,2.02938681,0.04828071,0.97513554,0.21015911,0.40847505,0.09611228,0.15260098,1.14163005,1.37336114,1.07979514,0.31912126,1.02248523,1.50724531,-1.06168455,-0.05786767,1.51743797,0.71304279,0.45209078,0.32061209,1.32191475,1.98715775
ENSG00000196557,CACNA1H,Calcium channels,CaV3 / T-type calcium channels,"Cav3.2 α1 subunit (vascular smooth muscle, some cardiac)","CACNA1H | Cav3.2 α1 subunit (vascular smooth muscle, some cardiac)",No,No,ENSG00000196557,CACNA1H,gene_id,retained,-0.26929095,-0.28477494,0.51734559,0.27402266,0.04534001,-0.68839548,0.24932871,-0.22245823,0.37888262,0.46281938,-0.16468049,0.46665994,0.64314316,0.06410357,0.48146815,-0.02900814,0.48946303,-0.37765229,0.40987584,0.37369315,0.14272377,1.35386006,0.11441600,-0.73049695,0.34898749,0.25715009,0.04548328,-0.54274126,-0.51152139,-0.49368548,0.23976065,0.30354548,0.48503523,-0.45819010,-0.60258109
ENSG00000196218,RYR1,Calcium channels,SR calcium release - RyR axis,Ryanodine receptor 1 (skeletal),RYR1 | Ryanodine receptor 1 (skeletal),No,No,ENSG00000196218,RYR1,gene_id,retained,0.28722291,0.02994647,-0.09223436,0.18843689,0.26824397,0.16985809,-0.15437155,-0.55490954,-0.14219288,-0.52696618,-0.37391810,-0.37569619,-0.15327977,-0.78848267,0.08896849,0.14739075,0.95121975,-0.59806460,-0.77521442,-0.72500711,-0.13603213,0.10873081,-0.05763488,-0.40274269,-0.16987913,-0.53378960,-0.31842132,-1.17704595,-1.18500624,-0.47660019,-0.75767305,0.06337250,-0.36671701,-0.21656173,0.10947518
ENSG00000198626,RYR2,Calcium channels,SR calcium release - RyR axis,Ryanodine receptor 2 (cardiac),RYR2 | Ryanodine receptor 2 (cardiac),No,No,ENSG00000198626,RYR2,gene_id,retained,0.01991105,0.16016600,0.00410406,0.12440303,-0.12608455,0.65838958,-0.15531819,-1.28668144,0.60111047,-0.48334225,-1.65017316,0.04027187,0.91384344,0.06061058,0.27903683,0.26629250,0.37853057,-1.68743820,0.52415493,0.34080338,-0.18398615,0.09306305,0.17953743,0.39457250,-0.56602845,-0.54135036,-0.20484666,0.96643684,0.58886454,0.58043471,0.08101631,-0.75333135,0.52150193,0.52344935,0.03130592
ENSG00000198838,RYR3,Calcium channels,SR calcium release - RyR axis,Ryanodine receptor 3,RYR3 | Ryanodine receptor 3,No,No,ENSG00000198838,RYR3,gene_id,retained,-0.18957827,-0.30212923,-1.23719757,0.75743773,0.59183377,-0.01972394,0.19326371,0.24957030,-0.04347650,-0.72016738,0.75906576,0.27241881,0.13824881,0.35366025,0.43377477,-0.01965458,0.37965191,0.17505107,0.22930693,0.80562714,-0.28082926,-0.89548406,0.94216648,0.84042842,0.15371066,0.32031491,-0.12221083,-0.02118360,-0.41711435,0.76657092,1.13764341,2.16170454,0.20719613,0.31620486,0.47342271
ENSG00000118729,CASQ2,Calcium channels,SR calcium release - RyR axis,Calsequestrin 2 (cardiac SR Ca²⁺ buffer),CASQ2 | Calsequestrin 2 (cardiac SR Ca²⁺ buffer),No,No,ENSG00000118729,CASQ2,gene_id,retained,-0.05887732,-0.16870729,-0.07806860,0.21423121,-0.12508018,-0.01835614,0.07069606,-0.05321551,0.21737776,-0.44449697,-0.35173087,0.03070787,0.11453300,0.12525947,0.16255205,0.03903764,-0.16401971,-0.57442214,0.06444670,0.04824353,0.10776650,0.03789064,-0.09206294,0.17931381,-0.24145430,-0.16574503,0.26837059,0.43523812,0.13294687,0.30914400,-0.44343938,-0.93185984,-0.02703658,0.62799574,0.00739743
ENSG00000186439,TRDN,Calcium channels,SR calcium release - RyR axis,Triadin (RyR2–CASQ2 coupling),TRDN | Triadin (RyR2–CASQ2 coupling),No,No,ENSG00000186439,TRDN,gene_id,retained,0.06960600,-0.16205588,-0.21797780,0.01710704,0.01388739,-0.08221250,0.17463643,-0.05652641,0.24353573,-0.04936234,-0.06256776,-0.43371858,0.12306788,0.26361250,0.01111589,0.20218134,-0.03016778,-0.64345407,0.07593001,0.35988796,0.11630368,0.39592431,0.46036564,0.77647855,0.12110487,0.47742903,-0.05584798,0.14941609,0.13320745,0.07474962,-0.22835350,-1.02769346,-0.04037787,-0.08688663,-0.01910852
ENSG00000198363,ASPH,Calcium channels,SR calcium release - RyR axis,Junction (RyR2–CASQ2 coupling),ASPH | Junction (RyR2–CASQ2 coupling),No,No,ENSG00000198363,ASPH,gene_id,retained,-0.39162913,-0.15986040,0.11230033,0.30791898,-0.13736026,0.06151544,0.28583665,0.00250629,-0.08122789,0.21410660,0.53137431,-0.09744119,-0.11239741,0.07682393,0.07308290,-0.09173957,-0.55320972,0.21454411,-0.15719389,0.02856978,0.57522769,0.12655130,-0.08361724,0.16210793,0.02876845,-0.22636753,-0.38789930,-0.14692522,0.20473358,0.03724273,-0.13294421,0.19428796,-0.17027872,0.07960024,-0.21849215
ENSG00000119782,FKBP1B,Calcium channels,SR calcium release - RyR axis,Calstabin2 / FKBP12.6 (stabilizes RyR2),FKBP1B | Calstabin2 / FKBP12.6 (stabilizes RyR2),No,No,ENSG00000119782,FKBP1B,gene_id,retained,0.76002615,0.78899416,0.33918446,-0.23392600,-0.28203640,-1.17070369,-0.14825858,1.21673818,-1.27001828,0.68280266,0.71679806,0.66762486,0.72528316,1.26789453,0.21006537,0.79704795,1.01698019,0.93820506,1.12767783,-0.16392637,0.53199296,0.42971713,-0.97900940,0.42013036,0.38817312,-0.53351750,0.97590463,-4.76295023,-0.38989954,-0.22201091,-0.65228793,0.93912863,-0.30694390,-0.02987651,-0.86611102
ENSG00000196296,ATP2A1,Calcium channels,SR calcium uptake - SERCA axis,SERCA1 (skeletal),ATP2A1 | SERCA1 (skeletal),No,No,ENSG00000196296,ATP2A1,gene_id,retained,1.13386095,0.84155529,1.48718269,0.46274112,0.27821152,0.14185778,-3.78440787,-1.47599464,0.91499315,1.15285277,1.18684817,1.30412276,1.12726899,1.55292006,1.40621736,2.10960943,0.66683942,2.66671685,-1.16578480,0.59224176,1.22542534,2.21235747,1.36212123,0.57446217,1.61212021,2.33045392,2.86270220,1.25374545,2.33886243,0.11358154,2.50710839,2.19457079,2.70324826,1.63658882,1.52010750
ENSG00000174437,ATP2A2,Calcium channels,SR calcium uptake - SERCA axis,SERCA2a/b (cardiac),ATP2A2 | SERCA2a/b (cardiac),No,No,ENSG00000174437,ATP2A2,gene_id,retained,-0.58097471,-0.12113377,0.63342780,-0.13781141,0.44226878,-0.68047381,0.06807153,0.30100178,0.07562381,-0.07923430,-1.04408674,0.31004786,0.10273561,0.05962836,0.14390444,-0.30723601,-0.34120294,-1.58321180,0.35103108,-0.46133911,0.60753961,0.22483792,-0.61058494,-0.16889809,-0.30979244,-0.70078750,-0.74221940,-0.24306260,-0.42888236,-0.68225284,-0.60705228,-1.91237272,-0.36206503,-0.13419666,-1.20721103
ENSG00000074370,ATP2A3,Calcium channels,SR calcium uptake - SERCA axis,SERCA3,ATP2A3 | SERCA3,No,No,ENSG00000074370,ATP2A3,gene_id,retained,0.61013383,-0.22409919,0.41584885,0.66693696,-0.76123635,-0.26337981,-0.35651892,-0.15917484,0.07148946,-0.09343942,0.44038034,0.08260504,-0.60881525,-0.07998887,0.30494743,0.58414273,0.54359025,-0.16713730,-0.04726504,-0.05879811,-0.57945159,0.22949313,-0.94763687,-0.79088269,0.20353677,-0.04483456,-0.26218679,-0.66553502,-0.89219465,-1.01645758,-0.85166382,0.02366429,-0.29199651,0.58837986,-0.03165049
ENSG00000198523,PLN,Calcium channels,SR calcium uptake - SERCA axis,Phospholamban (master SERCA regulator),PLN | Phospholamban (master SERCA regulator),No,No,ENSG00000198523,PLN,gene_id,retained,-0.25465841,-0.62988542,-0.04620613,0.00858803,0.40094887,0.54306659,0.04352324,-0.14725820,0.08188144,-0.41960426,-0.52064018,-0.62681775,0.02446586,0.09949193,-0.62629132,-0.13034452,-0.31853955,-0.64516316,0.12995098,-0.21913082,-0.56497277,-0.00832504,-0.71058247,-0.53068681,-0.47232958,-0.44581822,-0.84590920,0.00525445,-0.10848950,-0.22568831,-0.64007019,-1.32993139,-1.13318792,-0.17769795,-0.56268668
ENSG00000170290,SLN,Calcium channels,SR calcium uptake - SERCA axis,Sarcolipin (atrial SERCA regulator),SLN | Sarcolipin (atrial SERCA regulator),No,No,ENSG00000170290,SLN,gene_id,retained,0.24796678,-1.15227795,0.78645883,2.34729007,-0.96330816,-2.82174325,-0.36068639,-0.91401172,2.83031179,3.65993283,3.55545954,1.74018750,4.21713883,3.84956746,3.93889487,-1.90129732,4.44075994,2.62345472,-0.48739239,2.61003044,-2.78548141,-0.97999615,2.06189338,-1.18405742,1.17689815,2.00511361,-0.31947597,-1.55280280,1.10102713,-0.60908024,0.86479780,1.41907105,-0.09024089,2.13974476,0.31655567
ENSG00000150995,ITPR1,Calcium channels,IP3 receptors - ER/MAM calcium release,IP3 receptor type 1,ITPR1 | IP3 receptor type 1,No,No,ENSG00000150995,ITPR1,gene_id,retained,0.57751489,-0.62941691,0.22059700,0.86413383,-0.84918067,-0.18636377,-0.53057234,0.20719579,0.32609218,0.37667758,0.40986611,0.40883675,0.27926143,0.16052220,0.52194132,0.23382173,0.68035837,0.18885781,0.02084176,0.27688209,0.22934773,-0.55075794,-0.09076118,-0.88330527,0.43871924,-0.01757893,-0.67381720,-0.22833126,0.48216435,0.13369620,0.35210330,1.36130897,-0.63208046,0.43475682,0.10054594
ENSG00000123104,ITPR2,Calcium channels,IP3 receptors - ER/MAM calcium release,"IP3 receptor type 2 (dominant cardiac, MAM)","ITPR2 | IP3 receptor type 2 (dominant cardiac, MAM)",No,No,ENSG00000123104,ITPR2,gene_id,retained,0.44619017,-0.00686101,0.12284607,0.29297543,-0.44229081,-0.41847882,-0.43785388,-0.11276470,0.55623756,0.19241728,0.11177596,0.35030006,0.24396024,0.28679545,0.25037518,0.52516947,0.58087720,0.49402823,0.46192055,0.43337933,-0.00691887,-0.47410278,0.12546725,-0.82688181,0.40487982,-0.32716293,-0.83392303,-0.49070831,-0.14102801,-0.10800316,-0.20386115,0.30153589,0.53914195,-0.01903741,-0.50385063
ENSG00000096433,ITPR3,Calcium channels,IP3 receptors - ER/MAM calcium release,IP3 receptor type 3 (MAM),ITPR3 | IP3 receptor type 3 (MAM),No,No,ENSG00000096433,ITPR3,gene_id,retained,-0.06296882,0.15124209,0.41559914,-0.61832906,-0.21215908,-0.19363390,-0.03096757,0.07124392,0.47997329,-0.15407116,-1.00938021,-0.06637224,-0.47256781,0.29688004,-0.23954305,-0.08524193,0.23499228,-0.47916756,0.69990995,-0.47490571,0.53719922,0.07128032,0.30923795,-0.76280312,-0.36212742,-0.11415949,0.29412738,-0.90086012,-0.73157266,-0.03618587,-0.48315634,-0.30011949,0.55741895,0.05346946,-0.24323631
ENSG00000183023,SLC8A1,Calcium channels; Sodium channels,Plasma membrane calcium efflux; Na⁺/Ca²⁺ exchangers,"NCX1 — Na⁺/Ca²⁺ exchanger 1 (cardiac); NCX1 (cardiac, main Ca²⁺ efflux)","SLC8A1 | NCX1 — Na⁺/Ca²⁺ exchanger 1 (cardiac); NCX1 (cardiac, main Ca²⁺ efflux)",Yes,No,ENSG00000183023,SLC8A1,gene_id,retained,-0.61408352,-0.12960510,-0.22768130,-0.08137119,-0.43600717,0.65679509,0.66242081,-0.10384902,0.27338139,-0.64542354,-0.57197243,-0.05850610,-0.11146788,-0.08396843,-0.15665836,-0.01542087,-0.48324791,-0.85216646,-0.00576309,0.16130861,0.55645287,0.29727373,-0.42469134,0.33621979,-0.65371545,0.00117216,0.48072989,0.52795828,0.47797396,0.58419728,0.37769098,-0.66156884,0.04534852,0.83047727,0.03041119
