gene_id,gene_symbol,heatmap_row_label,major_class,subcategory,functional_label(s),HF_vs_Normal_log2FoldChange,Obese_vs_Normal_log2FoldChange,Diabetic_vs_Normal_log2FoldChange,HF_vs_Normal_padj,Obese_vs_Normal_padj,Diabetic_vs_Normal_padj,HF_vs_Normal_direction,Obese_vs_Normal_direction,Diabetic_vs_Normal_direction,HF_vs_Normal_FDR_status,Obese_vs_Normal_FDR_status,Diabetic_vs_Normal_FDR_status
ENSG00000151067,CACNA1C,CACNA1C | Cav1.2 α1 subunit (cardiac L-type),Calcium channels,L-type calcium channels (Cav1),Cav1.2 α1 subunit (cardiac L-type),0.126975329858554,-0.148822353146633,0.281788431509646,0.707553606834079,0.653872069295763,0.749628138615087,Higher in Heart Failure than Normal,Lower in Obese than Normal,Higher in Diabetic than Normal,Not FDR significant (padj ≥ 0.05),Not FDR significant (padj ≥ 0.05),Not FDR significant (padj ≥ 0.05)
ENSG00000157388,CACNA1D,CACNA1D | Cav1.3 α1 subunit (atrial/pacemaker L-type),Calcium channels,L-type calcium channels (Cav1),Cav1.3 α1 subunit (atrial/pacemaker L-type),-0.414391932362992,-0.485800233133293,-1.12042219826317,0.727921657657977,0.786213921457535,0.683718337490812,Lower in Heart Failure than Normal,Lower in Obese than Normal,Lower in Diabetic than Normal,Not FDR significant (padj ≥ 0.05),Not FDR significant (padj ≥ 0.05),Not FDR significant (padj ≥ 0.05)
ENSG00000081248,CACNA1S,CACNA1S | Cav1.1 α1 subunit (skeletal muscle),Calcium channels,L-type calcium channels (Cav1),Cav1.1 α1 subunit (skeletal muscle),2.00790557847127,0.949373608903703,1.54891024167659,0.174840637708981,0.844943011125395,0.812930039050512,Higher in Heart Failure than Normal,Higher in Obese than Normal,Higher in Diabetic than Normal,Not FDR significant (padj ≥ 0.05),Not FDR significant (padj ≥ 0.05),Not FDR significant (padj ≥ 0.05)
ENSG00000102001,CACNA1F,CACNA1F | Cav1.4 α1 subunit (retina),Calcium channels,L-type calcium channels (Cav1),Cav1.4 α1 subunit (retina),0.178893233168087,0.335420200712202,0.4381772204319,0.853196747962732,0.879749566313515,0.957071481409107,Higher in Heart Failure than Normal,Higher in Obese than Normal,Higher in Diabetic than Normal,Not FDR significant (padj ≥ 0.05),Not FDR significant (padj ≥ 0.05),Not FDR significant (padj ≥ 0.05)
ENSG00000141837,CACNA1A,CACNA1A | Cav2.1 α1 subunit (P/Q-type),Calcium channels,L-type calcium channels (Cav1),Cav2.1 α1 subunit (P/Q-type),0.889472015359611,-0.0278254671990001,-0.0130089492564993,0.00641158061586374,0.981295305030437,0.995078270338251,Higher in Heart Failure than Normal,Lower in Obese than Normal,Lower in Diabetic than Normal,FDR significant (padj < 0.05),Not FDR significant (padj ≥ 0.05),Not FDR significant (padj ≥ 0.05)
ENSG00000148408,CACNA1B,CACNA1B | Cav2.2 α1 subunit (N-type),Calcium channels,L-type calcium channels (Cav1),Cav2.2 α1 subunit (N-type),0.00026019091023853,1.19565262453461,1.17703659185818,0.999615080011998,0.204155684844139,0.634780707108669,Higher in Heart Failure than Normal,Higher in Obese than Normal,Higher in Diabetic than Normal,Not FDR significant (padj ≥ 0.05),Not FDR significant (padj ≥ 0.05),Not FDR significant (padj ≥ 0.05)
ENSG00000198216,CACNA1E,CACNA1E | Cav2.3 α1 subunit (R-type),Calcium channels,L-type calcium channels (Cav1),Cav2.3 α1 subunit (R-type),-1.46976760275923,2.48622358109155,-0.874598214725065,0.0515194602272711,0.000290875168681499,0.773862341570828,Lower in Heart Failure than Normal,Higher in Obese than Normal,Lower in Diabetic than Normal,Not FDR significant (padj ≥ 0.05),FDR significant (padj < 0.05),Not FDR significant (padj ≥ 0.05)
ENSG00000006283,CACNA1G,"CACNA1G | Cav3.1 α1 subunit (cardiac conduction system, SAN, AVN, fetal heart)",Calcium channels,L-type calcium channels (Cav1),"Cav3.1 α1 subunit (cardiac conduction system, SAN, AVN, fetal heart)",0.799801379285038,0.538664522796489,0.509520255001909,0.201991631440114,0.555226773434574,0.800555450097787,Higher in Heart Failure than Normal,Higher in Obese than Normal,Higher in Diabetic than Normal,Not FDR significant (padj ≥ 0.05),Not FDR significant (padj ≥ 0.05),Not FDR significant (padj ≥ 0.05)
ENSG00000196557,CACNA1H,"CACNA1H | Cav3.2 α1 subunit (vascular smooth muscle, some cardiac)",Calcium channels,L-type calcium channels (Cav1),"Cav3.2 α1 subunit (vascular smooth muscle, some cardiac)",-0.0729069644536675,0.203048071304201,0.355355384007988,0.829395437799395,0.555226773434574,0.749628138615087,Lower in Heart Failure than Normal,Higher in Obese than Normal,Higher in Diabetic than Normal,Not FDR significant (padj ≥ 0.05),Not FDR significant (padj ≥ 0.05),Not FDR significant (padj ≥ 0.05)
ENSG00000100346,CACNA1I,CACNA1I | Cav3.3 α1 subunit (predominantly neuronal/thalamic),Calcium channels,L-type calcium channels (Cav1),Cav3.3 α1 subunit (predominantly neuronal/thalamic),1.44648273157786,0.821183190737027,0.0292289145653803,0.352788657420226,0.837266578758289,0.995078270338251,Higher in Heart Failure than Normal,Higher in Obese than Normal,Higher in Diabetic than Normal,Not FDR significant (padj ≥ 0.05),Not FDR significant (padj ≥ 0.05),Not FDR significant (padj ≥ 0.05)
ENSG00000196218,RYR1,RYR1 | Ryanodine receptor 1 (skeletal),Calcium channels,SR calcium release - RyR axis,Ryanodine receptor 1 (skeletal),-0.413247935797311,-0.130267256848662,-0.297071328131146,0.209117975906596,0.844943011125395,0.773862341570828,Lower in Heart Failure than Normal,Lower in Obese than Normal,Lower in Diabetic than Normal,Not FDR significant (padj ≥ 0.05),Not FDR significant (padj ≥ 0.05),Not FDR significant (padj ≥ 0.05)
ENSG00000198626,RYR2,RYR2 | Ryanodine receptor 2 (cardiac),Calcium channels,SR calcium release - RyR axis,Ryanodine receptor 2 (cardiac),0.195533147925049,-0.122478154860053,0.072987826180882,0.661907379243312,0.893570651241443,0.957071481409107,Higher in Heart Failure than Normal,Lower in Obese than Normal,Higher in Diabetic than Normal,Not FDR significant (padj ≥ 0.05),Not FDR significant (padj ≥ 0.05),Not FDR significant (padj ≥ 0.05)
ENSG00000198838,RYR3,RYR3 | Ryanodine receptor 3,Calcium channels,SR calcium release - RyR axis,Ryanodine receptor 3,0.658252933491109,0.144169294316427,0.298483366743192,0.173371400467579,0.844943011125395,0.821146179708222,Higher in Heart Failure than Normal,Higher in Obese than Normal,Higher in Diabetic than Normal,Not FDR significant (padj ≥ 0.05),Not FDR significant (padj ≥ 0.05),Not FDR significant (padj ≥ 0.05)
ENSG00000118729,CASQ2,CASQ2 | Calsequestrin 2 (cardiac SR Ca²⁺ buffer),Calcium channels,SR calcium release - RyR axis,Calsequestrin 2 (cardiac SR Ca²⁺ buffer),0.0887172528031296,-0.118501057705815,0.0224890359438395,0.727921657657977,0.555226773434574,0.957071481409107,Higher in Heart Failure than Normal,Lower in Obese than Normal,Higher in Diabetic than Normal,Not FDR significant (padj ≥ 0.05),Not FDR significant (padj ≥ 0.05),Not FDR significant (padj ≥ 0.05)
ENSG00000186439,TRDN,TRDN | Triadin (RyR2–CASQ2 coupling),Calcium channels,SR calcium release - RyR axis,Triadin (RyR2–CASQ2 coupling),-0.00570602842774487,-0.0649907010600799,0.352460163291201,0.977707733635752,0.837266578758289,0.260627792298106,Lower in Heart Failure than Normal,Lower in Obese than Normal,Higher in Diabetic than Normal,Not FDR significant (padj ≥ 0.05),Not FDR significant (padj ≥ 0.05),Not FDR significant (padj ≥ 0.05)
